country,code, gni , skulspend , death , healthexp , unemp , water , skul ,maternal
Equatorial Guinea,GNQ," 5,100 ",, 9.03 , 236.62 , 9.30 ,,,212
Eritrea,ERI,,, 6.42 , 23.98 , 7.28 ,,,322
Estonia,EST," 23,570 ", 6.58 , 11.90 ," 1,787.87 ", 6.96 , 99.59 , 114.95 ,5
Ethiopia,ETH, 880 ,, 6.62 , 28.70 , 4.13 , 49.62 ,,267
Faroe Islands,FRO," 64,250 ",, 7.00 ,,, 100.00 ,,
Fiji,FJI," 4,680 ", 5.68 , 8.08 , 186.36 , 4.79 , 94.30 , 95.14 ,38
Finland,FIN," 50,060 ", 5.88 , 10.00 ," 4,726.14 ", 7.76 , 100.00 , 144.23 ,8
France,FRA," 39,440 ", 5.50 , 9.90 ," 4,768.73 ", 8.01 , 100.00 , 104.63 ,8
French Polynesia,PYF,,, 3.86 ,, 13.67 , 100.00 ,,
Gabon,GAB," 6,830 ", 3.18 , 6.91 , 228.98 , 21.73 , 85.34 ,,227
"Gambia, The",GMB, 700 , 2.76 , 7.37 , 18.58 , 5.10 , 80.94 ,,458
Georgia,GEO," 4,260 ", 3.85 , 13.98 , 320.01 , 11.73 , 97.35 , 102.55 ,28
Germany,DEU," 48,050 ", 4.66 , 11.90 ," 5,930.33 ", 3.86 , 100.00 , 97.11 ,4
Ghana,GHA," 2,230 ",, 7.45 , 84.98 , 3.77 , 85.79 , 77.67 ,263
Gibraltar,GIB,,, 8.69 ,,, 100.00 , 95.71 ,
Greece,GRC," 17,960 ", 4.44 , 12.20 ," 1,675.12 ", 16.31 , 100.00 , 105.55 ,8
Greenland,GRL,,, 9.20 ,,, 100.00 ,,
Grenada,GRD," 7,880 ",, 8.06 , 491.08 ,,, 113.47 ,21
Guam,GUM,,, 7.18 ,, 6.58 , 99.70 ,,
Guatemala,GTM," 4,490 ", 3.30 , 5.34 , 289.13 , 3.36 , 94.01 , 50.44 ,96
Guinea,GIN, 950 , 2.20 , 9.85 , 46.84 , 5.95 , 63.96 ,,553
Guinea-Bissau,GNB, 740 , 2.71 , 8.57 , 61.43 , 3.61 , 59.02 ,,725
Guyana,GUY," 8,190 ",, 8.03 , 378.06 , 15.59 , 95.55 ,,112
Haiti,HTI," 1,330 ", 1.37 , 8.18 , 44.18 , 15.09 , 66.70 ,,350
Honduras,HND," 2,150 ", 6.44 , 4.95 , 212.70 , 10.68 , 95.69 ,,72
"Hong Kong SAR, China",HKG," 48,550 ", 4.41 , 6.80 ,, 5.81 , 100.00 , 108.37 ,
Hungary,HUN," 16,040 ", 4.76 , 14.50 ," 1,163.25 ", 4.25 , 100.00 , 103.05 ,15
Iceland,ISL," 62,110 ", 7.72 , 6.30 ," 5,636.94 ", 5.48 , 100.00 , 114.36 ,3
India,IND," 1,900 ", 4.47 , 7.35 , 56.63 , 10.20 , 90.49 , 75.48 ,103
Indonesia,IDN," 3,900 ", 3.49 , 8.96 , 132.96 , 4.25 , 92.42 ,,173
"Iran, Islamic Rep.",IRN," 3,280 ", 3.59 , 5.57 , 573.40 , 9.69 , 97.48 , 89.38 ,22
Iraq,IRQ," 4,660 ",, 5.24 , 202.31 , 16.23 , 98.36 ,,76
Ireland,IRL," 65,330 ", 3.10 , 6.50 ," 6,092.18 ", 5.62 , 97.40 , 135.22 ,5
Isle of Man,IMN," 79,300 ",, 10.41 ,,, 99.08 ,,
Israel,ISR," 43,310 ", 7.07 , 5.30 ," 3,867.40 ", 4.33 , 100.00 , 104.94 ,3
Italy,ITA," 32,430 ", 4.27 , 12.50 ," 3,057.04 ", 9.16 , 99.92 , 100.91 ,5
Jamaica,JAM," 4,900 ", 5.62 , 7.58 , 325.72 , 6.50 , 91.03 ,,99
Japan,JPN," 40,870 ", 3.42 , 11.10 ," 4,388.10 ", 2.80 , 99.08 ,,4
Jordan,JOR," 4,030 ", 3.67 , 3.48 , 298.64 , 19.21 , 98.94 , 67.82 ,41
Kazakhstan,KAZ," 8,710 ", 4.45 , 8.60 , 341.54 , 4.89 , 95.43 , 103.75 ,13
Kenya,KEN," 1,900 ", 5.08 , 7.46 , 83.40 , 5.62 , 61.63 ,,530
Kiribati,KIR," 2,700 ",, 6.24 , 166.62 ,, 77.97 ,,76
"Korea, Dem. People's Rep.",PRK,,, 9.08 ,, 3.06 , 93.84 ,,107
"Korea, Rep.",KOR," 33,040 ",, 5.90 ," 2,642.41 ", 3.93 , 99.93 , 96.04 ,8
Kosovo,XKX," 4,440 ",, 7.51 ,,,,,
Kuwait,KWT," 31,370 ", 6.55 , 3.25 ," 1,532.56 ", 3.33 , 100.00 ,,7
Kyrgyz Republic,KGZ," 1,180 ", 6.21 , 6.10 , 63.69 , 4.63 , 91.70 , 98.08 ,50
Lao PDR,LAO," 2,470 ", 2.30 , 6.37 , 68.29 , 3.58 , 85.22 , 62.76 ,126
Latvia,LVA," 18,240 ", 5.97 , 15.20 ," 1,313.35 ", 8.10 , 98.78 , 105.96 ,18
Lebanon,LBN," 6,400 ", 1.69 , 6.25 , 994.49 , 12.97 , 92.60 ,,21
Lesotho,LSO," 1,210 ", 7.67 , 12.86 , 107.10 , 18.46 , 72.18 ,,566
Liberia,LBR, 600 , 2.31 , 8.75 , 56.71 , 3.84 , 75.26 , 39.70 ,652
Libya,LBY," 7,400 ",, 5.60 ,, 20.34 , 99.89 ,,72
Liechtenstein,LIE,,, 8.20 ,,, 100.00 , 120.23 ,
Lithuania,LTU," 19,670 ",, 15.60 ," 1,522.17 ", 8.49 , 98.01 , 108.73 ,9
Luxembourg,LUX," 79,580 ", 4.97 , 7.30 ," 6,757.00 ", 6.77 , 99.88 , 107.18 ,6
"Macao SAR, China",MAC," 44,590 ", 6.30 , 4.05 ,, 2.57 , 100.00 , 102.58 ,
North Macedonia,MKD," 5,730 ",, 12.40 , 452.97 , 16.55 , 97.74 , 79.60 ,3
Madagascar,MDG, 460 , 3.10 , 6.80 , 17.95 , 2.36 , 53.39 ,,392
Malawi,MWI, 570 , 2.91 , 6.71 , 32.98 , 5.68 , 70.05 ,,381
