District,County,Name,type,Students,p_minority, Diversity ,teachers,spendrat,avgsal,teachrat,p_5yearsexp,poorpct,Language limit,p_gifted,p_special,p_moved,p_passed,attendance
DALLAS ISD,DALLAS,ADELLE TURNER EL,1,744,99.73,0.05,36,2652,35327,20.7,30,40.73,0.27,11.96,5.51,12.1,39.06,98
DALLAS ISD,DALLAS,MARK TWAIN EL,1,703,98.72,0.25,46.3,3568,35380,15.2,32.6,72.12,0.57,12.09,5.97,23.19,50.63,96.3
DALLAS ISD,DALLAS,PRISCILLA L TYLER EL,1,174,99.43,0.11,14,6023,28567,12.4,5,98.28,6.9,13.79,12.07,14.94,69.6,93.9
DALLAS ISD,DALLAS,URBAN PARK EL,1,764,87.3,2.22,38.2,2982,33145,20,27.2,89.92,52.23,12.43,6.81,26.7,58.94,95.2
DALLAS ISD,DALLAS,WALNUT HILL EL,1,442,52.49,4.99,28.1,3842,33149,15.7,23.2,28.28,9.5,11.31,17.19,11.09,74.49,97.1
DALLAS ISD,DALLAS,DANIEL WEBSTER EL,1,1041,98.94,0.21,56,3209,34177,18.6,34,85.21,7.3,13.74,7.88,43.32,37.66,94.3
DALLAS ISD,DALLAS,MARTIN WEISS EL,1,612,85.78,2.44,33,3043,35409,18.5,26,88.89,28.1,17.81,9.48,17.65,65.64,96.5
DALLAS ISD,DALLAS,PHYLLIS WHEATLEY EL,1,185,99.46,0.11,12,4810,34624,15.4,9,92.97,0,8.65,3.78,23.24,82.8,97.1
DALLAS ISD,DALLAS,SUDIE L WILLIAMS EL,1,354,78.53,3.37,31,3903,33005,11.4,22.1,65.82,20.34,14.41,27.97,16.38,55.93,94.8
DALLAS ISD,DALLAS,WINNETKA EL,1,894,97.54,0.48,47,2942,34074,19,31.1,89.71,50.56,13.31,5.82,19.91,34.23,96.4
DALLAS ISD,DALLAS,HARRY C WITHERS EL,1,494,64.17,4.6,26.9,3069,30878,18.3,13,55.26,38.46,22.06,7.49,21.66,70.75,96.5
DALLAS ISD,DALLAS,EDNA ROWE EL,1,777,96.65,0.65,39.6,2876,35119,19.6,29,72.46,3.73,8.75,9.27,42.99,46.25,95.3
DALLAS ISD,DALLAS,NATHAN ADAMS EL,1,675,47.26,4.98,35.7,2891,34965,18.9,26.2,33.63,13.33,6.37,9.19,28.59,85.17,96.2
DALLAS ISD,DALLAS,BIRDIE ALEXANDER EL,1,603,98.51,0.29,35,3120,34706,17.2,21,73.13,1.16,9.95,10.45,27.36,58.96,96.5
DALLAS ISD,DALLAS,NANCY J COCHRAN EL,1,702,96.01,0.77,42.1,3277,34365,16.7,30,94.3,30.48,13.68,11.82,34.47,66.1,95.9
DALLAS ISD,DALLAS,JOHN W RUNYON EL,1,1004,91.43,1.57,52.8,3091,34035,19,34.8,86.95,27.19,11.16,10.16,33.47,41.35,94.4
DALLAS ISD,DALLAS,T D MARSHALL EL,1,446,99.78,0.04,23,3259,34949,19.4,18,84.98,4.71,14.57,6.28,18.16,56.8,96.9
DALLAS ISD,DALLAS,R C BUCKNER EL,1,605,97.85,0.42,29,2950,34867,20.9,23,96.86,54.71,2.98,4.3,20.66,52.9,96.6
DALLAS ISD,DALLAS,JOSE NAVARRO EL,1,219,99.09,0.18,15,5008,34200,14.6,10,99.54,9.59,8.68,11.42,35.62,35.5,95.9
DALLAS ISD,DALLAS,ERASMO SEGUIN EL,1,607,98.68,0.26,39,3395,32480,15.6,25,97.2,29.98,9.06,4.12,24.71,67.1,96.7
DALLAS ISD,DALLAS,WHITNEY M YOUNG EL,1,341,99.12,0.17,25,4300,33255,13.6,13,91.2,13.2,10.26,12.61,44.87,40.59,94.3
DALLAS ISD,DALLAS,M JACKSON EL,1,601,98.17,0.36,38.8,3738,35892,15.5,22.8,87.35,13.31,12.48,8.32,22.46,39.57,97.8
DALLAS ISD,DALLAS,JOSEPH MCMILLAN PRI,3,341,99.41,0.12,21.3,3408,32530,16,14.3,83.87,6.74,16.72,9.97,21.41,62.9,95.9
DALLAS ISD,DALLAS,J LESLIE PATTON INT,2,183,100,,13.7,4346,33139,13.3,10.7,84.15,9.84,12.57,17.49,29.51,54.42,97.2
DALLAS ISD,DALLAS,LORENZO DE ZAVALA EL,1,402,98.01,0.39,21.2,3870,31213,19,13.4,98.51,67.41,8.96,4.23,17.16,32,95.6
DALLAS ISD,DALLAS,SEQUOYAH EL,1,380,99.21,0.16,35.5,6548,34605,10.7,27.5,96.05,19.74,18.95,23.16,26.32,43.45,96.1
DALLAS ISD,DALLAS,J P STARKS EL,1,530,98.11,0.37,29.9,2987,35582,17.7,21,96.42,10.19,11.7,4.34,29.81,58.75,95.8
DALLAS ISD,DALLAS,RONALD E MCNAIR EL,1,601,99.67,0.07,39,3456,31467,15.4,20,87.52,0.83,14.64,6.49,40.77,34.83,96.1
DALLAS ISD,DALLAS,ELADIO R MARTINEZ EL,1,852,98.59,0.28,61.1,4111,30729,13.9,34,93.9,48.36,14.44,7.86,14.08,54.7,95.5
DALLAS ISD,DALLAS,FREDERICK DOUGLASS EL,1,555,98.74,0.25,30.8,3275,31424,18,14,95.86,9.37,7.75,4.86,28.11,47.9,95.6
DALLAS ISD,DALLAS,DANIEL JAMES LEARN CTR,3,344,99.42,0.12,32,6802,36162,10.8,30,96.22,8.72,15.41,21.8,44.48,29.57,94.1
DE SOTO ISD,DALLAS,RUBY YOUNG EL,1,442,41.63,4.86,29.6,3263,29517,14.9,19.3,23.53,3.39,7.01,9.95,16.52,68.38,97.2
DE SOTO ISD,DALLAS,NORTHSIDE EL,1,476,73.95,3.85,32.4,3111,29201,14.7,15.5,38.03,4.62,7.14,10.71,19.75,66.8,96.5
DE SOTO ISD,DALLAS,AMBER TERRACE INT,2,655,38.63,4.74,35.2,2630,30664,18.6,24.2,23.21,1.68,11.45,11.15,21.22,60.1,96.8
DE SOTO ISD,DALLAS,BELT LINE EL,1,463,40.82,4.83,26.1,2722,31595,17.8,19.5,22.25,2.38,6.48,9.94,18.14,74.74,96.9
DE SOTO ISD,DALLAS,THE MEADOWS INT,2,409,54.52,4.96,30,3901,32253,13.6,23.9,24.69,1.96,14.67,14.67,24.45,74.1,96.9
DE SOTO ISD,DALLAS,COCKRELL HILL EL,1,452,34.73,4.53,27.6,3416,34444,16.4,23.3,15.49,0.44,11.28,8.85,10.18,75.59,97.1
DE SOTO ISD,DALLAS,FRANK D MOATES EL,1,538,35.87,4.6,32.8,2856,30432,16.4,21,36.25,3.53,4.28,6.69,24.35,57.36,96
DUNCANVILLE ISD,DALLAS,CENTRAL EL,1,526,58.75,4.85,29,3124,32878,18.1,23,52.28,11.41,4.56,15.02,18.06,68.44,95.6
DUNCANVILLE ISD,DALLAS,FAIRMEADOWS EL,1,602,51.99,4.99,35,2704,29095,17.2,18,51.99,12.96,3.32,8.14,22.09,70.36,96.6
DUNCANVILLE ISD,DALLAS,MERRIFIELD EL,1,555,51.71,4.99,30.2,2396,28666,18.4,16.3,37.48,2.52,5.41,9.73,21.08,75.43,96.6
DUNCANVILLE ISD,DALLAS,HASTINGS EL,1,441,41.27,4.85,24.4,2707,32216,18.1,20.4,28.57,6.12,8.62,7.94,15.65,65.58,96.9
DUNCANVILLE ISD,DALLAS,ALEXANDER EL,1,355,27.32,3.97,24.7,3712,33845,14.4,22.7,13.52,0,4.23,16.34,13.8,81.07,96.8
DUNCANVILLE ISD,DALLAS,SMITH EL,1,356,48.31,4.99,24,3616,32397,14.8,18,27.81,0,5.34,8.99,11.8,72.49,96.9
DUNCANVILLE ISD,DALLAS,ACTON EL,1,497,63.58,4.63,28.3,2724,29532,17.5,15.5,34.61,3.62,5.23,9.26,17.71,75.86,97.1
DUNCANVILLE ISD,DALLAS,DANIEL INT,2,669,42.15,4.88,38.1,2777,32250,17.6,25.1,24.07,2.99,15.4,10.01,14.95,77.9,96.7
DUNCANVILLE ISD,DALLAS,HARDIN INT,2,582,45.02,4.95,34.8,2868,30872,16.7,23.7,42.44,2.23,13.4,13.57,22.51,74.2,95.9
DUNCANVILLE ISD,DALLAS,BRANDENBURG INT,2,543,44.57,4.94,37.7,3301,32920,14.4,27.8,23.2,0.18,14.36,14,19.15,72.92,97
GARLAND ISD,DALLAS,BEAVER EL,1,289,58.48,4.86,20.5,4003,31504,14.1,15,54.33,6.57,0.69,10.38,43.25,89.43,96.7
GARLAND ISD,DALLAS,BULLOCK EL,1,396,61.36,4.74,25.5,3112,28893,15.5,13,75.76,16.67,0.25,16.16,28.28,80.97,96.6
GARLAND ISD,DALLAS,CALDWELL EL,1,306,53.27,4.98,21.8,3318,29076,14.1,12,65.36,0,0.33,15.69,47.39,88.99,95.4
GARLAND ISD,DALLAS,CENTERVILLE EL,1,326,60.12,4.8,21.1,3451,29581,15.4,16.1,59.82,12.58,0.31,25.15,19.94,89.23,95.9
GARLAND ISD,DALLAS,COOPER EL,1,619,29.73,4.18,35.1,2574,29861,17.7,19,15.99,9.69,2.58,9.53,7.11,91.89,97.6
GARLAND ISD,DALLAS,DAUGHERTY EL,1,466,58.15,4.87,25.5,2651,30264,18.3,20,69.74,9.66,0.21,10.3,19.1,65.84,96.5
GARLAND ISD,DALLAS,FREEMAN EL,1,343,55.69,4.94,20.1,3307,31169,17.1,12.1,69.39,6.41,0.58,14.87,23.03,62.18,96
GARLAND ISD,DALLAS,HANDLEY EL,1,478,43.72,4.92,27,2801,31118,17.7,24,37.87,0,0.84,12.13,24.06,68.46,96.3
GARLAND ISD,DALLAS,KIMBERLIN ACAD FOR EXCEL,1,523,36.9,4.66,29.4,3039,31342,17.8,22.4,28.68,7.84,77.25,4.97,5.93,96.8,97.5
GARLAND ISD,DALLAS,PARK CREST EL,1,576,44.27,4.93,33.7,2741,31048,17.1,24.8,53.13,10.94,0.52,10.94,27.26,73.22,95.9
GARLAND ISD,DALLAS,SOUTHGATE EL,1,522,42.91,4.9,31.5,2889,30850,16.6,20.5,43.68,22.22,1.72,10.34,26.25,85.82,97.2
GARLAND ISD,DALLAS,WATSON EL,1,324,65.12,4.54,21,3738,29913,15.5,12,73.46,13.27,0.62,23.15,15.43,73.52,96.5
GARLAND ISD,DALLAS,WEAVER EL,1,557,48.65,5,29.9,2682,32264,18.6,26.5,39.32,0,0.72,11.31,22.08,59.8,96.5
GARLAND ISD,DALLAS,WILLIAMS EL,1,323,40.25,4.81,23.7,3736,29160,13.6,12.7,48.61,23.53,0.62,14.55,16.41,76.77,96.6
GARLAND ISD,DALLAS,BRADFIELD EL,1,363,52.89,4.98,25.2,3536,30902,14.4,18,49.86,0,1.93,17.91,23.14,77.81,96.7
GARLAND ISD,DALLAS,SHOREHAVEN EL,1,338,54.73,4.96,22.6,3448,30355,15,15.6,65.09,2.66,0,18.93,24.26,76.55,96
GARLAND ISD,DALLAS,MONTCLAIR EL,1,580,42.76,4.9,33.5,2928,30604,17.3,27.5,40.69,15.34,1.21,13.45,19.66,77.95,97.3
GARLAND ISD,DALLAS,WALNUT GLEN ACAD FOR EXCEL,1,383,36.81,4.65,21.6,3255,29819,17.7,18.7,27.68,0,67.89,8.36,19.06,92.3,97.1
GARLAND ISD,DALLAS,GOLDEN MEADOWS EL,1,658,53.5,4.98,35.5,2635,30434,18.5,17.5,58.21,24.92,0.61,8.66,16.87,72.45,96.8
GARLAND ISD,DALLAS,HEATHER GLEN EL,1,604,42.38,4.88,34.5,2657,29589,17.5,21,38.41,17.38,2.65,16.39,18.21,89.59,97.6
GARLAND ISD,DALLAS,HILLSIDE ACAD FOR EXCEL,1,387,35.4,4.57,23.1,3268,31415,16.8,18.1,28.68,4.65,67.7,6.46,9.56,92.43,97.3
GARLAND ISD,DALLAS,DAVIS EL,1,418,57.66,4.88,27.6,3860,30367,15.1,15,46.17,9.81,0.96,13.4,20.57,78.16,96.3
GARLAND ISD,DALLAS,ROACH EL,1,335,44.78,4.95,21,2964,31508,16,17,44.48,0,2.69,14.33,37.91,98.21,96.5
GARLAND ISD,DALLAS,ETHRIDGE EL,1,734,39.65,4.79,38.9,2414,29474,18.8,27,29.84,11.17,1.5,9.26,18.12,90.01,96.9
GARLAND ISD,DALLAS,VIAL EL,1,560,54.11,4.97,30.9,2358,26193,18.1,7,62.32,0,0.54,7.86,42.68,51.86,95.9
GARLAND ISD,DALLAS,CLUB HILL EL,1,762,27.95,4.03,38,2454,31437,20.1,31.2,19.42,2.89,0.92,12.47,12.47,91.03,97.3
GARLAND ISD,DALLAS,HICKMAN EL,1,641,48.21,4.99,32.2,2559,31917,19.9,25.1,29.33,8.58,0.94,9.98,18.56,88.98,96.9
GARLAND ISD,DALLAS,NORTHLAKE EL,1,615,42.6,4.89,34.4,2576,28699,17.9,22,32.03,12.52,1.63,8.46,21.46,82.97,96.7
GARLAND ISD,DALLAS,TOLER EL,1,735,38.37,4.73,39.4,2359,27933,18.7,19,29.93,15.65,0.95,12.93,16.46,80.8,96.7
GARLAND ISD,DALLAS,ROWLETT EL,1,757,33.29,4.44,38.3,2297,29543,19.8,23,28.67,9.64,1.72,12.02,11.62,91.66,97.1
GARLAND ISD,DALLAS,SPRING CREEK EL,1,729,41.56,4.86,41.9,2688,30896,17.4,30.9,30.59,12.89,1.51,9.74,17.56,88.67,97.1
GARLAND ISD,DALLAS,LUNA EL,1,705,41.13,4.84,45.3,2778,29769,15.6,29.3,36.6,34.75,0.85,9.93,23.97,96.64,97.2
GARLAND ISD,DALLAS,BACK EL,1,908,37.67,4.7,50.7,2308,29464,17.9,33.8,26.32,13.44,0.77,9.14,12.22,85.47,97
GARLAND ISD,DALLAS,SHUGART EL,1,787,33.42,4.45,41.9,2395,29367,18.8,24.2,26.68,9.66,0.76,11.56,16.65,85.07,97.2
GARLAND ISD,DALLAS,HERFURTH EL,1,766,34.99,4.55,39.1,2362,28564,19.6,25,24.67,12.79,1.57,7.18,15.54,77.49,97.2
GARLAND ISD,DALLAS,ABBETT EL,1,733,35.74,4.59,38.9,2432,28587,18.9,19.6,22.51,13.23,1.91,8.87,14.46,99.02,97.2
GARLAND ISD,DALLAS,KEELEY EL,1,725,30.76,4.26,40.1,2522,28374,18.1,20.6,25.38,13.93,0.83,12.14,16.83,91.96,97.3
GARLAND ISD,DALLAS,ROBERT B SEWELL EL,1,830,28.8,4.1,46.2,2571,29410,18,29.2,30,19.64,1.08,11.57,13.01,90.54,97.3
GARLAND ISD,DALLAS,KATHRINE STEPHENS EL,1,779,34.92,4.55,44.5,2474,27023,17.5,14,28.5,11.55,1.41,12.58,27.86,89.26,96.1
GARLAND ISD,DALLAS,VERNAL LISTER EL,1,712,37.36,4.68,36.9,2558,27966,19.3,17.2,21.63,4.07,2.39,9.69,0,82.94,0
GRAND PRAIRIE ISD,DALLAS,JEFFERSON INT,2,506,63.24,4.65,38.8,4394,29644,13,22.3,76.48,10.28,1.98,27.67,30.24,69.2,96.4
GRAND PRAIRIE ISD,DALLAS,AUSTIN EL,1,395,71.65,4.06,25,3645,34508,15.8,18.3,68.35,19.75,2.78,10.38,27.34,87.82,96.4
GRAND PRAIRIE ISD,DALLAS,BOWIE EL,1,551,55.9,4.93,30.7,2882,31248,17.9,17,74.05,9.98,1.27,13.97,35.75,77.14,95.9
GRAND PRAIRIE ISD,DALLAS,CROCKETT EL,1,570,74.21,3.83,32,2859,33088,17.8,15.8,86.49,22.46,0.88,9.65,27.72,56.82,95.5
GRAND PRAIRIE ISD,DALLAS,DANIELS EL,1,299,65.22,4.54,22.4,4626,30612,13.3,10.4,73.58,0,3.34,28.43,24.08,63.59,95.1
GRAND PRAIRIE ISD,DALLAS,FANNIN EL,1,360,60.83,4.77,22.8,3797,31815,15.8,14,74.17,26.94,1.67,10,21.67,62.99,96.6
GRAND PRAIRIE ISD,DALLAS,FLORENCE HILL EL,1,523,33.84,4.48,33.7,3509,31424,15.5,22.6,15.87,0.38,9.18,17.21,9.75,76.4,97.5
GRAND PRAIRIE ISD,DALLAS,SAM HOUSTON EL,1,563,74.42,3.81,31.4,2678,28897,18,12,79.04,24.33,2.84,9.06,30.55,82.62,96
GRAND PRAIRIE ISD,DALLAS,LAMAR EL,1,261,79.31,3.28,18.2,4289,31217,14.3,8.9,82.38,32.95,1.53,9.96,24.52,54.27,96.4
GRAND PRAIRIE ISD,DALLAS,MILAM EL,1,600,50.17,5,33.5,3183,33004,17.9,24.5,53,8.67,5.67,13.83,19.83,94.63,96.7
GRAND PRAIRIE ISD,DALLAS,TRAVIS EL,1,375,77.6,3.48,21.8,3540,33490,17.2,12.6,78.13,29.07,0.8,12.8,22.67,47.15,96.6
GRAND PRAIRIE ISD,DALLAS,BONHAM EL,1,848,72.05,4.03,44.4,3150,34304,19.1,27.5,66.27,22.76,2.48,9.08,21.58,68.69,96.2
GRAND PRAIRIE ISD,DALLAS,EISENHOWER EL,1,531,32.2,4.37,28.2,2960,34189,18.8,20,31.45,0,7.16,11.49,20.15,87.97,97
GRAND PRAIRIE ISD,DALLAS,JOHNSON EL,1,733,63.85,4.62,42.9,2800,30736,17.1,22,45.43,9.14,4.09,14.46,19.1,63.89,96.8
GRAND PRAIRIE ISD,DALLAS,SAM RAYBURN EL,1,584,63.36,4.64,32.5,3083,32588,18,20.6,55.99,3.6,2.57,17.12,23.97,70.98,95.9
GRAND PRAIRIE ISD,DALLAS,ZAVALA EL,1,638,44.83,4.95,31.7,2723,33589,20.1,22.9,25.71,3.76,8.15,9.25,14.11,89.29,97.3
GRAND PRAIRIE ISD,DALLAS,DICKINSON EL,1,452,33.19,4.43,26.2,3170,33067,17.2,19,21.24,1.99,9.51,13.94,19.69,76.53,97.5
GRAND PRAIRIE ISD,DALLAS,JOHN GARNER EL,1,658,27.96,4.03,37.1,2975,34106,17.7,27,8.97,1.67,9.57,6.84,8.36,86.49,97.4
HIGHLAND PARK ISD,DALLAS,ARMSTRONG EL,1,436,3.44,0.66,30,4123,36410,14.5,25,0,0,7.8,10.09,5.96,95.38,97.1
HIGHLAND PARK ISD,DALLAS,BRADFIELD EL,1,541,1.48,0.29,35.1,3751,32569,15.4,23.6,0,0,5.73,11.83,6.1,92.89,97.2
HIGHLAND PARK ISD,DALLAS,HYER EL,1,556,0.18,0.04,34.7,3616,34439,16,26.9,0,0,6.83,8.09,3.78,98.93,97.4
HIGHLAND PARK ISD,DALLAS,UNIVERSITY PARK EL,1,636,2.83,0.55,37.5,3280,34295,17,26,0,0,6.29,7.39,5.35,93.56,96.9
HIGHLAND PARK ISD,DALLAS,MCCULLOCH INT,2,858,2.68,0.52,59.3,3305,33026,14.5,33.3,0,0,12.94,12.82,0,95.9,0
IRVING ISD,DALLAS,BARTON EL,1,875,72,4.03,49.9,3458,30943,17.5,26.8,68.8,56.46,2.4,8,28.23,68.36,96.8
IRVING ISD,DALLAS,OTIS BROWN EL,1,795,34.97,4.55,47.9,3972,34079,16.6,39.8,37.36,4.65,5.66,14.21,24.4,84.17,96.8
IRVING ISD,DALLAS,BRITAIN EL,1,826,62.35,4.69,51.7,3808,31830,16,35.7,71.43,34.02,1.94,14.29,24.21,70.3,96.4
IRVING ISD,DALLAS,GOOD EL,1,1090,78.62,3.36,60.3,3171,29235,18.1,26.9,75.23,59.08,1.65,5.87,26.06,69.54,97
IRVING ISD,DALLAS,HALEY J EL,1,815,71.41,4.08,45.6,3598,28866,17.9,16.6,78.16,48.83,2.82,7.61,25.4,65,96.8
IRVING ISD,DALLAS,HALEY T EL,1,708,58.9,4.84,45.2,3807,30326,15.7,25.5,39.69,2.97,6.64,13.42,37.15,79.08,97.2
IRVING ISD,DALLAS,JOHNSTON EL,1,652,44.63,4.94,45.7,4696,31970,14.3,29.5,41.26,2.76,3.83,20.4,27.61,72.98,96.5
IRVING ISD,DALLAS,KEYES EL,1,1066,72.61,3.98,59.5,3085,31422,17.9,35.6,72.14,30.21,1.69,9.85,22.33,63.7,96.6
IRVING ISD,DALLAS,LEE EL,1,711,45.99,4.97,42.5,3628,31486,16.7,22.2,42.33,3.38,7.31,12.66,26.3,73.04,96.5
IRVING ISD,DALLAS,LIVELY EL,1,713,33.52,4.46,44.5,4008,32934,16,31.1,34.92,1.26,8.27,16.41,23.14,79.11,96.9
IRVING ISD,DALLAS,FARINE EL,1,885,52.77,4.98,49.6,3393,31816,17.8,30.7,43.5,23.05,7.57,11.41,21.92,77.02,97.3
IRVING ISD,DALLAS,J O SCHULZE EL,1,918,72.98,3.94,52.5,3645,29947,17.5,27.8,78.43,46.3,2.29,8.06,28.1,59.89,96.6
IRVING ISD,DALLAS,BRANDENBURG EL,1,981,66.46,4.46,49.8,3063,32252,19.7,31.8,60.04,45.67,3.77,5.91,18.35,70.4,97.4
IRVING ISD,DALLAS,ELLIOTT EL,1,872,27.87,4.02,48.6,3414,31576,17.9,29.1,32.34,2.18,6.42,12.16,14.91,86.28,97
IRVING ISD,DALLAS,HANES EL,1,786,54.2,4.96,42.9,3331,29644,18.3,21.8,40.71,19.72,3.82,11.32,25.7,77.57,97.4
IRVING ISD,DALLAS,TOWNLEY EL,1,871,47.3,4.99,49,3595,33434,17.8,33.9,39.84,18.83,7.23,13.66,12.86,87.4,97.1
IRVING ISD,DALLAS,J O DAVIS EL,1,926,54.75,4.95,50.1,2850,28657,18.5,17,44.38,9.61,4.75,13.82,26.57,75.77,96.5
LANCASTER ISD,DALLAS,PLEASANT RUN EL,1,331,65.26,4.53,18.3,2590,31015,18.1,11.6,0,2.42,3.32,8.16,23.87,41.06,96.7
LANCASTER ISD,DALLAS,HOUSTON EL,1,233,72.96,3.95,16,3461,31796,14.5,11.1,31.33,26.61,4.72,14.16,20.17,76.87,96.8
LANCASTER ISD,DALLAS,WEST MAIN EL,1,339,43.07,4.9,20.2,2761,30282,16.8,13.7,0,1.18,10.62,10.32,17.99,76.56,97.2
LANCASTER ISD,DALLAS,LANCASTER INT,2,518,62.36,4.69,31.3,2687,26529,16.6,14.2,13.71,4.25,10.81,12.36,22.39,57.1,96.9
LANCASTER ISD,DALLAS,MILLBROOK EL,1,461,80.91,3.09,28.3,2323,26882,16.3,13.3,0,1.74,2.17,12.36,19.52,51.61,97.2
LANCASTER ISD,DALLAS,ROLLING HILLS EL,1,413,57.38,4.89,26.1,2701,28769,15.8,16.2,0.48,1.21,5.81,13.56,26.63,59.68,96.7
MESQUITE ISD,DALLAS,BLACK EL,1,803,18.43,3.01,40.8,3225,33186,19.7,25.7,24.91,1.25,2.86,14.32,15.57,56.9,96
MESQUITE ISD,DALLAS,FLORENCE EL,1,559,46.15,4.97,30.7,3530,34620,18.2,25.7,40.61,22.72,2.5,15.03,22,70.35,96.2
MESQUITE ISD,DALLAS,GALLOWAY EL,1,530,21.51,3.38,28.1,3497,33943,18.8,19.7,45.47,0.57,3.4,13.02,24.53,49.82,95.8
MESQUITE ISD,DALLAS,JOHN HANBY EL,1,777,35.78,4.6,45.6,3145,30847,17.1,27.1,57.27,4.25,1.54,13.9,33.59,74.79,95.2
MESQUITE ISD,DALLAS,HODGES EL,1,832,23.92,3.64,47,2951,31450,17.7,30,48.8,2.52,1.2,16.11,24.76,63.18,95.5
MESQUITE ISD,DALLAS,MCWHORTER EL,1,648,31.79,4.34,35.2,2934,29530,18.4,17,55.86,3.7,1.7,14.04,34.72,60.73,95.1
MESQUITE ISD,DALLAS,MOTLEY EL,1,349,30.95,4.27,30.3,4871,34497,11.5,23.3,51,5.73,2.58,17.19,24.64,78.24,96.8
MESQUITE ISD,DALLAS,RANGE EL,1,647,31.68,4.33,34.3,3006,32284,18.9,21.8,38.79,3.25,2.63,12.98,27.2,66.26,95.7
MESQUITE ISD,DALLAS,RUGEL EL,1,540,18.52,3.02,30.2,3576,35626,17.9,25.8,17.22,1.48,4.81,12.96,9.63,74.88,96.6
MESQUITE ISD,DALLAS,RUTHERFORD EL,1,951,17.25,2.85,47.5,2506,29872,20,22.5,15.56,0.95,4.73,9.57,11.78,69.78,96.3
MESQUITE ISD,DALLAS,SHANDS EL,1,577,19.93,3.19,28.6,3156,32118,20.2,16.6,29.12,0.87,3.99,17.33,23.22,68.88,95.6
MESQUITE ISD,DALLAS,TISINGER EL,1,839,30.75,4.26,44.4,2573,31297,18.9,30.2,55.54,4.77,2.74,13.71,20.98,65.73,94.8
MESQUITE ISD,DALLAS,TOSCH EL,1,409,25.18,3.77,22.3,4339,30983,18.4,12.8,27.14,2.93,4.65,11.74,18.34,76.71,96.3
MESQUITE ISD,DALLAS,S M SEABOURN EL,1,503,35.79,4.6,32.9,4155,31328,15.3,19.5,44.33,6.96,2.78,16.7,48.11,57.11,94.9
MESQUITE ISD,DALLAS,LAWRENCE EL,1,369,18.16,2.97,34.4,6213,31780,10.7,23.3,35.23,1.08,2.17,28.18,30.08,59.7,95.6
MESQUITE ISD,DALLAS,FLOYD EL,1,778,32.13,4.36,39.7,2933,30616,19.6,21.7,61.05,3.34,1.16,12.98,28.79,54.2,94.9
MESQUITE ISD,DALLAS,PORTER EL,1,399,23.81,3.63,23.2,3695,32647,17.2,16.2,19.55,2.51,6.02,14.29,10.03,85.78,97
MESQUITE ISD,DALLAS,MCKENZIE EL,1,454,30.18,4.21,25.5,3526,35588,17.8,21,22.03,4.41,4.63,11.67,16.74,76.51,96.4
MESQUITE ISD,DALLAS,C W BEASLEY EL,1,570,21.58,3.38,28.2,3319,36875,20.2,27.2,12.28,4.04,5.26,12.46,9.12,79.97,96.7
MESQUITE ISD,DALLAS,VERNON PRICE EL,1,581,25.99,3.85,29,2874,31227,20,16,11.36,1.55,8.43,9.29,9.29,76.19,97.2
MESQUITE ISD,DALLAS,RUBY SHAW EL,1,790,33.67,4.47,37.4,2721,32085,21.1,23,22.53,2.41,4.81,11.77,13.67,64.85,96.2
MESQUITE ISD,DALLAS,GEORGIA W KIMBALL EL,1,427,22.48,3.49,21.9,3239,34013,19.5,16.9,8.9,2.58,12.88,10.3,6.79,94.63,97.8
MESQUITE ISD,DALLAS,JOEY M PIRRUNG EL,1,638,27.12,3.95,33,3518,30769,19.3,21.1,8.78,3.29,5.64,13.48,20.69,89.7,96.7
MESQUITE ISD,DALLAS,J C CANNADAY EL,1,711,35.16,4.56,35.5,2654,29441,20,16.5,21.24,3.09,5.2,16.32,20.11,71.57,96.9
MESQUITE ISD,DALLAS,J C AUSTIN EL,1,584,19.69,3.16,28.6,2790,29311,20.4,10.6,8.73,2.4,8.05,12.16,10.1,79.36,97.3
MESQUITE ISD,DALLAS,MARY MOSS EL,1,533,28.14,4.04,27.3,2663,29981,19.5,15.8,20.83,1.69,4.32,9.76,19.14,65.77,96.7
MESQUITE ISD,DALLAS,THOMPSON EL,1,639,24.57,3.71,29.7,3021,28016,21.5,9.3,12.05,2.19,3.13,10.95,0,75.73,0
RICHARDSON ISD,DALLAS,ARAPAHO EL,1,282,19.15,3.1,19.9,3398,32409,14.2,11.3,11.7,2.84,7.45,14.89,12.06,84.93,97
RICHARDSON ISD,DALLAS,CANYON CREEK EL,1,265,3.77,0.73,18.9,3792,34210,14,17.5,2.26,0.38,9.43,6.04,6.79,91.05,97.2
RICHARDSON ISD,DALLAS,DOVER EL,1,328,57.93,4.87,22.5,3625,33718,14.6,13,50.61,29.27,2.74,6.71,63.11,89.63,96.4
RICHARDSON ISD,DALLAS,GREENWOOD HILLS EL,1,344,18.31,2.99,24.9,4189,32545,13.8,19.9,19.77,2.62,6.4,16.28,15.7,91.31,96.3
RICHARDSON ISD,DALLAS,HAMILTON PARK EL,1,669,56.35,4.92,49.9,4487,36526,13.4,41,33.03,9.27,16.89,11.66,5.08,75.47,97.1
RICHARDSON ISD,DALLAS,O HENRY EL,1,479,37.58,4.69,26.6,2704,34164,18,20.6,23.38,18.58,2.71,17.33,11.9,70.1,96.6
RICHARDSON ISD,DALLAS,LAKE HIGHLANDS EL,1,669,53.06,4.98,44.5,3122,31834,15,29,51.27,26.61,6.43,12.56,13.75,70.61,96.3
